Date,Amsterdam,Belin,Lisbon,London,Moscow,New York,Paris,Dubai,Roma,Hong Kong,Warsaw,Tokyo
,5572,4514,3271,17000,4867,10772,9792,4118,8750,10429,2462,8769
29/06/2017,-0.01,0.01,0.01,-0.01,-0.01,-0.02,0.02,-0.02,-0.03,0.02,0.01,0.02
30/06/2017,-0.01,0.01,-0.01,0.02,-0.01,-0.01,0.01,-0.01,-0.01,-0.01,-0.02,0.01
01/07/2017,0.02,0.01,0.01,0.02,-0.03,-0.01,0.01,-0.04,-0.01,-0.02,-0.01,0.01
02/07/2017,0.01,0.01,0.01,-0.03,-0.01,-0.02,0.02,0.02,-0.01,-0.01,0.01,0.02
03/07/2017,-0.01,-0.02,0.01,-0.01,-0.01,-0.01,0.01,0.02,-0.02,-0.03,0.03,-0.01
04/07/2017,0.02,0.02,-0.01,0.01,-0.01,-0.02,0.01,-0.03,0.02,0.02,0.01,-0.02
05/07/2017,0.03,0.01,-0.01,0.02,-0.02,-0.01,0.01,0.01,0.03,0.02,-0.02,-0.04
06/07/2017,0.01,-0.01,-0.02,-0.03,0.03,-0.01,0.01,-0.02,-0.01,0.01,0.02,0.01
07/07/2017,-0.01,0.01,0.01,0.01,-0.03,0.02,0.01,-0.02,-0.01,0.0,0.04,0.01
08/07/2017,-0.01,-0.01,-0.02,0.03,-0.01,0.01,0.01,0.03,-0.02,0.01,-0.01,0.01
09/07/2017,0.01,-0.01,0.01,0.01,-0.01,0.01,-0.02,0.01,-0.01,-0.02,-0.01,0.03
10/07/2017,0.01,-0.01,-0.01,-0.02,-0.01,0.02,-0.02,-0.01,-0.01,-0.02,-0.03,0.01
11/07/2017,0.02,0.01,-0.01,-0.02,-0.01,0.02,-0.03,-0.02,0.01,0.01,0.02,-0.02
12/07/2017,0.01,-0.01,0.02,-0.03,-0.01,0.01,0.01,-0.03,-0.02,0.02,0.04,0.01
13/07/2017,-0.01,-0.01,-0.01,0.01,0.02,0.01,-0.01,0.01,0.02,0.01,-0.01,0.02
14/07/2017,0.01,-0.01,-0.01,-0.01,-0.03,-0.01,0.01,0.02,0.03,-0.02,0.02,0.01
15/07/2017,-0.01,0.01,-0.01,-0.02,0.01,0.01,-0.02,-0.01,0.01,-0.01,-0.02,-0.01
16/07/2017,0.01,-0.01,-0.02,-0.03,0.02,0.01,0.01,-0.02,0.01,-0.03,0.01,-0.01
17/07/2017,0.01,0.01,0.01,0.01,-0.01,0.02,-0.01,0.03,0.01,0.02,0.01,0.02
18/07/2017,-0.02,-0.01,0.01,0.04,-0.01,0.01,0.01,-0.03,0.02,0.01,0.01,0.01
19/07/2017,-0.02,-0.01,-0.01,-0.01,0.02,-0.01,-0.01,0.02,0.02,-0.02,-0.02,0.01
20/07/2017,-0.03,0.01,-0.01,0.03,0.02,0.01,-0.01,-0.01,-0.03,-0.01,-0.01,0.01
21/07/2017,0.01,0.01,0.02,0.01,-0.01,-0.01,0.01,0.03,-0.01,-0.03,0.01,-0.01
22/07/2017,0.02,-0.01,-0.02,-0.02,0.01,0.01,-0.01,-0.02,0.02,0.02,0.03,-0.02
23/07/2017,0.01,-0.01,0.01,-0.02,-0.02,0.01,-0.01,0.03,-0.01,0.02,0.01,-0.04
24/07/2017,-0.01,-0.01,-0.01,-0.03,-0.02,-0.02,-0.01,-0.03,-0.01,0.01,-0.02,0.01
25/07/2017,0.02,0.01,0.02,0.01,0.03,-0.02,-0.02,-0.01,-0.02,0.03,-0.01,0.01
26/07/2017,0.01,0.01,-0.01,0.01,-0.03,-0.02,-0.02,0.02,0.01,0.01,0.01,0.01
27/07/2017,0.01,-0.01,0.02,-0.02,0.01,0.01,-0.03,-0.01,-0.01,-0.02,0.03,-0.03
28/07/2017,-0.02,-0.01,-0.02,0.03,0.01,0.02,0.01,-0.01,-0.01,-0.02,0.01,0.01
29/07/2017,-0.02,0.01,-0.01,0.01,-0.01,0.01,0.01,0.02,-0.01,0.01,-0.02,-0.02
